,total_ord_count,total_ord_count,total_ord_count,total_ord_count
,count,max,mean,min
Age_income_level,,,,
Middle-aged High income,16493,99,19.374825683623357,5
Middle-aged Low income,18256,99,17.21067046450482,5
Middle-aged Middle income,59097,99,19.19975633280877,5
Senior High income,8561,99,19.202429622707626,5
Senior Low income,5376,99,17.36811755952381,5
Senior Middle income,21839,99,19.140986308896927,5
Young adult High income,230,99,24.360869565217392,5
Young adult Low income,10033,99,17.73547293930031,5
Young adult Middle income,22742,99,19.19971858235863,5
