department,Loyal customer,New customer,Regular customer
alcohol,38723,28628,77275
babies,167108,46704,196576
bakery,379873,172100,568851
beverages,855017,396645,1320235
breakfast,221577,106177,343094
bulk,13834,4149,15468
canned goods,294594,180194,537284
dairy eggs,1830707,750054,2596419
deli,324046,158332,521453
dry goods pasta,242580,144836,434720
frozen,609460,372265,1140000
household,196873,128113,374867
international,78394,43841,133756
meat seafood,202480,112464,359837
missing,18350,12713,33705
other,10715,5838,17857
pantry,560402,299576,922727
personal care,123365,75439,225499
pets,25469,15880,51711
produce,3147376,1336598,4595293
snacks,943150,413103,1410149
